firm_id,firm_name,razon_social,firm_type,registry_rubros,products_text,classification,code,code_label,in_opex,opex_line,opex_line_name,attribution_type,confidence,evidence,source_url
4293,384 IMPULSORES DE NEGOCIOS,384 FRANQUICIAS Y PYMES S.A.S.,service,Franquicias; Servicios Profesionales,DESARROLLO MODELOS DE NEGOCIO DE FRANQUICIAS; COMERCIALIZACION DE FRANQUICIAS; PROFESIONALIZACIÓN DE CADENAS DE FRANQUICIAS,EBOPS,SJ.23,Professional and management consulting,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Professional and management consulting),https://www.exportadoresdecordoba.com/single.php?search=4293
2741,3DU DIGITAL,PRESTI IRENE DEL CARMEN,service,Internacionalización de Educación,DIPLOMATURA EN DISEÑO E IMPRESIÓN 3D,EBOPS,SJ.29,Other business services n.i.e.,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Other business services n.i.e.),https://www.exportadoresdecordoba.com/single.php?search=2741
302,3R AMBIENTAL,PROTEA S.A.,service,Servicios Ambientales,GESTION: RESIDUOS DE MATERIALES TECNOLÓGICOS E INDUSTRIALES,EBOPS,SJ.244,Environmental services,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Environmental services),https://www.exportadoresdecordoba.com/single.php?search=302
4819,ABRAPALABRA,COOPERATIVA DE TRABAJO LIMITADA ABRAPALABRA,service,Idiomas y Traducciones; Internacionalización de Educación; Producciones Audiovisuales,TRADUCCIÓN; INTERPRETACIÓN; TRADUCCIÓN AUDIOVISUAL; CLASES DE IDIOMAS,EBOPS,SJ.221,Translation and interpretation,n/a (services),,,service,medium,rubro-based mapping to EBOPS 2010 (Translation and interpretation),https://www.exportadoresdecordoba.com/single.php?search=4819
5514,ACA BIO,ACA BIO COOP.LTDA,goods,Aceites; Alimentación animal; Energías Alternativas,ACEITE DE MAÍZ; BIOETANOL; DDGS,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5514
5514,ACA BIO,ACA BIO COOP.LTDA,goods,Aceites; Alimentación animal; Energías Alternativas,ACEITE DE MAÍZ; BIOETANOL; DDGS,HS4,1515,,yes,208Z,Resto grasas y aceites,resto,high,keyword 'ACEITE DE MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=5514
4491,ACCEFY,ARGIND S.A.S.,service,Software y Tecnología,ACCEFY,EBOPS,SI,"Telecommunications, computer, information",n/a (services),,,service,medium,"rubro-based mapping to EBOPS 2010 (Telecommunications, computer, information)",https://www.exportadoresdecordoba.com/single.php?search=4491
4930,ACCESSIN SA,ACCESSIN SOCIEDAD ANONIMA,service,Software y Tecnología,ACCESSIN: SOFTWARE Y APP PARA ADMINISTRAR CONSORCIOS,EBOPS,SI,"Telecommunications, computer, information",n/a (services),,,service,medium,"rubro-based mapping to EBOPS 2010 (Telecommunications, computer, information)",https://www.exportadoresdecordoba.com/single.php?search=4930
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,1001,,yes,106A,Trigo,clean,high,keyword 'TRIGO PAN' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,goods,Aceites; Cereales; Harinas; Oleaginosas,TRIGO PAN; MAÍZ; SORGO; MANÍ CONFITERÍA; ACEITE CRUDO SOJA; ACEITE REFINADO SOJA; ACEITE CRUDO MANÍ; ACEITE CRUDO GIRASOL; ACEITE NATURA BOT 1 LT; ACEITE REFINADO GIRASOL,HS4,1005,,yes,106B,Maíz,clean,high,keyword 'MAÍZ' matched in product/description text,https://www.exportadoresdecordoba.com/single.php?search=2160
