hs4,hs_revision,supports_top50_line,top50_line_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources
0201,HS92,201AA,Carne bovina,clean,yes,26,BUSTOS Y BELTRAN S.A. / GRUPO BELTRÁN; FRIGORÍFICO PAMPA DE VARE; CHENNA; CUSCO COWHIDES; FRIGORÍFICO RIO SEGUNDO,targeted+registry-full
0202,HS92,201AA,Carne bovina,clean,yes,2,BUSTOS Y BELTRAN S.A. / GRUPO BELTRÁN; FRIGORÍFICO PAMPA DE VARE,targeted+registry-full
0203,HS92,19899,Productos primarios (confidencial),confidential,no,47,EXPORK MAG; AXIOM ARGENTINA; FRIGORIFICO QUALITA S.A.; FRIGORIFICO SAN FRANCISCO SA / GRUPO BELTRÁN; GRANJA BUFFA,targeted+registry-full
0206,HS92,19899,Productos primarios (confidencial),confidential,no,10,BUSTOS Y BELTRAN S.A. / GRUPO BELTRÁN; FRIGORIFICO SAN FRANCISCO SA / GRUPO BELTRÁN; MENUDENCIAS DEL CENTRO S.A. - GRUPO BELTRÁN; RDC S.A / RDC LEVADURAS / GRUPO BELTRÁN; FRIGORÍFICO NOVARA SA / GRUPO BELTRÁN,targeted+registry-full
0207,HS92,19899,Productos primarios (confidencial),confidential,no,15,INFOREST SRL; PAMPA COMPAÑÍA DE CARNES - DUO SILVESTRE ESCABECHES; VASQUETTO NUTRICIÓN ANIMAL; EL PRODUCTOR; INDACOR SA,registry-full
0402,HS92,203A,Leches preparadas,clean,yes,15,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.; LA VARENSE; JAMER Y BUEN PAN; LACTEAR SA; LAS TRES NIÑAS - GRUPO ADECOAGRO,targeted+registry-full
0403,HS92,19899,Productos primarios (confidencial),confidential,no,3,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.; ARSA / SANCOR; PANINO,targeted+registry-full
0405,HS92,203B,Manteca,clean,yes,15,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.; BRO FOOD SUPPLIER; JL PRODUCTOS ALIMENTICIOS; MANIAGRO ARGENTINA; NUTRIN S.A.,targeted+registry-full
0406,HS92,203C,Quesos,clean,yes,31,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.; ARTE & SABORES DELICATESSEN / CALEUFU GOURMET; EL MAESTRO QUESERO; ESTILO REAL – ARROYO CABRAL; LACTEAR SA,targeted+registry-full
0409,HS92,103,Miel,clean,yes,25,DULCOR; CAPYC; CROPPERS - GRUPO MANIAGRO; FEDERACIÓN DE JÓVENES AGRARIOS COOP. Y MUTUALISTAS; MIEL DE MONTE,targeted+registry-full
0701,HS92,19899,Productos primarios (confidencial),confidential,no,29,BESSO HNOS; AGROPECUARIA VILLA DOLORES SA; EL RELINCHO PAPAS; EL RELINCHO PRODUCTOS AGRICOLAS; FÁBRICA DE PASTAS BETTINI,targeted+registry-full
0702,HS92,19899,Productos primarios (confidencial),confidential,no,9,FÁBRICA DE PASTAS BETTINI; GRUPO ARCOR; MATERFER; OLIVARES SAN NICOLAS; EL HALLI OBEID LUIS MARIA - GRUPO MUSICAL TOMATES ASESINOS,registry-full
0703,HS92,104B,Ajos,clean,yes,10,BESSO HNOS; ARTE & SABORES DELICATESSEN / CALEUFU GOURMET; AZAFRÁN RUEDO; GARLIC AJO NEGRO; IMPLEMENTOS AGRÍCOLAS ESCAÑUELA,targeted+registry-full
0712,HS92,19899,Productos primarios (confidencial),confidential,no,3,AZAFRÁN RUEDO; CHIALVO SRL; HQA PRODUCTOS NATURALES,targeted+registry-full
0713,HS92,104C,Legumbres,clean,yes,75,FAMIGLIA ROSSI - MOLINOS ROSSI; AGRO ARG SRL; ALEMAR SA / FUNNY; BARBALE AGROPECUARIA; BRO FOOD SUPPLIER,targeted+registry-full
0802,HS92,19899,Productos primarios (confidencial),confidential,no,10,CROPPERS - GRUPO MANIAGRO; ACEITES DEL DESIERTO; ARTE & SABORES DELICATESSEN / CALEUFU GOURMET; NATFOOD SAS; PALMESANO - GRUPO PALMESANO,targeted+registry-full
0806,HS92,19899,Productos primarios (confidencial),confidential,no,6,CROPPERS - GRUPO MANIAGRO; PALMESANO - GRUPO PALMESANO; PASAFRE; PRODUCTOS DON ROGELIO; TRONADOR PANIFICADOS,targeted+registry-full
