firm_id,firm_name,razon_social,hs4,ncm,product_name_declared,exporter_profile,source_url
4117,AB FUNDAS,BERTONA ALFREDO JOSE,8421,8421.31.00,FILTROS DE AIRE PARA MOTOCICLETAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4117
4117,AB FUNDAS,BERTONA ALFREDO JOSE,8714,8714.10.00,FUNDAS PARA ASIENTOS MOTOCICLETAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4117
219,ABELARDO CUFFIA SA,ABELARDO CUFFIA SOCIEDAD ANONIMA,8421,8421.81.19,BANDERILLEROS SATELITALES GPS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=219
219,ABELARDO CUFFIA SA,ABELARDO CUFFIA SOCIEDAD ANONIMA,8526,8526.91.00,MONITOR DE SIEMBRA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=219
219,ABELARDO CUFFIA SA,ABELARDO CUFFIA SOCIEDAD ANONIMA,9031,9031.80.99,COMPUTADORAS DE CAMPO - GPS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=219
219,ABELARDO CUFFIA SA,ABELARDO CUFFIA SOCIEDAD ANONIMA,9032,9032.89.90,SISTEMAS DE DOSIFICACIÓN VARIABLE,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=219
5514,ACA BIO,ACA BIO COOP.LTDA,1515,1515.21.00,ACEITE DE MAÍZ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5514
5514,ACA BIO,ACA BIO COOP.LTDA,2207,2207.10.10,BIOETANOL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5514
5514,ACA BIO,ACA BIO COOP.LTDA,2303,2303.30.00,DDGS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5514
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1001,1001.99.00,TRIGO PAN,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1005,1005.90.10,MAÍZ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1007,1007.90.00,SORGO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1202,1202.42.00,MANÍ CONFITERÍA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1507,1507.10.00,ACEITE CRUDO SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1508,1508.10.00,ACEITE CRUDO MANÍ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,1512,1512.11.10,ACEITE CRUDO GIRASOL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,2106,2106.90.90,LECITINA SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,2304,2304.00.10,HARINA SOJA 42%,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,2306,2306.30.10,PELLETS GIRASOL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,3823,3823.19.00,OLEINA GIRASOL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2160
4314,ACEITES DEL DESIERTO,GRUPO ACEITES DEL DESIERTO SRL,1106,1106.30.00,HARINA DE NUEZ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4314
4314,ACEITES DEL DESIERTO,GRUPO ACEITES DEL DESIERTO SRL,1508,1508.90.00,ACEITE DE MANÍ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4314
4314,ACEITES DEL DESIERTO,GRUPO ACEITES DEL DESIERTO SRL,1515,1515.50.00,ACEITE DE SÉSAMO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4314
2037,ACEITUNAS ALVAREZ,CUENCA DEL SOL S A,1509,1509.10.00,ACEITE DE OLIVA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2037
2037,ACEITUNAS ALVAREZ,CUENCA DEL SOL S A,2005,2005.70.00,ACEITUNAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2037
3493,ADK,ADK S.R.L.,8422,8422.40.90,MÁQUINAS ENVASADORAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3493
3597,AFENSIS,SAF AMERICAS S.R.L.,9031,9031.80.99,AFENSIS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3597
3988,AGRÍCOLA PIQUILLÍN,AGRICOLA PIQUILLIN SRL,1005,1005.90.10,MAÍZ,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3988
3988,AGRÍCOLA PIQUILLÍN,AGRICOLA PIQUILLIN SRL,1201,1201.90.00,SOJA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=3988
4973,AGRO ARG SRL,AGRO.ARG S.R.L.,1202,1202.42.00,MANÍ CRUDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4973
4973,AGRO ARG SRL,AGRO.ARG S.R.L.,1206,1206.00.90,GIRASOL,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4973
4973,AGRO ARG SRL,AGRO.ARG S.R.L.,2008,2008.11.00,MANÍ BLANCHEADO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=4973
2098,AGRO TRANSPORTES S.A.,AGRO TRANSPORTES S A,1202,1202.42.00,MANÍ CONFITERÍA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=2098
367,AGROMEC SA,AGROMEC S A,8422,8422.30.21,EMBOLSADORA DE GRANOS AB (EGS 900),Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,8427,8427.90.00,TRANSPORTADOR DE ROLLOS HIDRÁULICO - T.R.H. MEGA 6,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,8432,8432.80.00,PALA MILENIUM 200,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,8433,8433.30.00,RASTRILLO LATERAL (SUPER 98),Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,8436,8436.10.00,MEZCLADOR DISTRIBUIDOR,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
367,AGROMEC SA,AGROMEC S A,8716,8716.20.00,CARGADORA DE GRANOS AB (C.M.R. 3000),Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=367
1715,AGROMETAL SAI,AGROMETAL SOC ANON IND,8432,8432.30.10,SEMBRADORAS,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=1715
5036,AGROPECUARIA VILLA DOLORES SA,AGROPECUARIA VILLA DOLORES S A,0701,0701.10.00,PAPAS PARA SIEMBRA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5036
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,1104,1104.23.00,MAÍZ PARTIDO,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5303
5303,AGROSERVICIOS MEDITERRÁNEA,AGROSERVICIOS MEDITERRANEA S.A.S.,1201,1201.90.00,SOJA DESACTIVADA,Exportadora Habitual,https://www.exportadoresdecordoba.com/single.php?search=5303
