firm_id,firm_name,razon_social,exporter_profile,source_layer,hs4_or_ebops,ciiu_rev3_primary,ciiu_primary_desc,ciiu_rev3_all,in_oede_cordoba
2837,FRIGORÍFICO SAN ANTONIO,CHACINADOS SAN ANTONIO S.R.L.,Exportadora Habitual,curated,1601,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
2837,FRIGORÍFICO SAN ANTONIO,CHACINADOS SAN ANTONIO S.R.L.,Exportadora Habitual,curated,1602,1511,Producción y procesamiento de carne y productos cárnicos,"1511,1549,2429",yes
1393,ESNAOLA - GRUPO DULCOR,J A ESNAOLA E HIJOS S A A I C E I,Exportadora Habitual,curated,2007,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549,2429",yes
1393,ESNAOLA - GRUPO DULCOR,J A ESNAOLA E HIJOS S A A I C E I,Exportadora Habitual,curated,1806,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
5570,INCHIK,INCHIK S.A.,Exportadora Habitual,curated,1202,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,1513,1549",yes
5570,INCHIK,INCHIK S.A.,Exportadora Habitual,curated,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
4672,VERTRAUEN,VERTRAUEN SOCIEDAD DE RESPONSABILIDAD LIMITADA,Exportadora Habitual,curated,2106,1549,Elaboración de productos alimenticios n.c.p.,"1549,2429",yes
4672,VERTRAUEN,VERTRAUEN SOCIEDAD DE RESPONSABILIDAD LIMITADA,Exportadora Habitual,curated,3505,2429,Fabricación de productos químicos n.c.p.,"1532,2429,3699",yes
4672,VERTRAUEN,VERTRAUEN SOCIEDAD DE RESPONSABILIDAD LIMITADA,Exportadora Habitual,curated,3204,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
2259,PELLFOOD,BOLLATTI JORGE LUIS,Exportadora Habitual,curated,1214,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,0112,1533",yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1001,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1007,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1202,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,1513,1549",yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1507,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1508,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,1512,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,2304,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,2306,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2160,ACEITERA GENERAL DEHEZA SA - AGD,ACEITERA GENERAL DEHEZA S.A.,Exportadora Habitual,curated,2923,2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno","1551,2330,2411,2429",yes
582,LA BLANCA SA,LA BLANCA S.A.,Exportadora Habitual,curated,1901,1531,Elaboración de productos de molinería,"1531,1549,2429",yes
700,BUSTOS Y BELTRAN S.A. / GRUPO BELTRÁN,BUSTOS Y BELTRAN S A S. A.,Exportadora Habitual,curated,0201,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
700,BUSTOS Y BELTRAN S.A. / GRUPO BELTRÁN,BUSTOS Y BELTRAN S A S. A.,Exportadora Habitual,curated,0202,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
700,BUSTOS Y BELTRAN S.A. / GRUPO BELTRÁN,BUSTOS Y BELTRAN S A S. A.,Exportadora Habitual,curated,0206,1511,Producción y procesamiento de carne y productos cárnicos,1511,yes
2037,ACEITUNAS ALVAREZ,CUENCA DEL SOL S A,Exportadora Habitual,curated,1509,1514,Elaboración de aceites y grasas de origen vegetal,1514,yes
2037,ACEITUNAS ALVAREZ,CUENCA DEL SOL S A,Exportadora Habitual,curated,2005,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549,2429",yes
241,BERTOTTO BOGLIONE,BERTOTTO BOGLIONE SOC ANON,Exportadora Habitual,curated,3925,2520,Fabricación de productos de plástico,"1920,2109,2519,2520,3610,3699",yes
241,BERTOTTO BOGLIONE,BERTOTTO BOGLIONE SOC ANON,Exportadora Habitual,curated,7309,2812,"Fabricación de tanques, depósitos y recipientes de metal",2812,yes
241,BERTOTTO BOGLIONE,BERTOTTO BOGLIONE SOC ANON,Exportadora Habitual,curated,8413,2912,Fabricación de bombas; compresores; grifos y válvulas,2912,yes
2172,DENSO MANUFACTURING ARGENTINA SA,DENSO MANUFACTURING ARGENTINA S.A.,Exportadora Habitual,curated,8415,2919,Fabricación de  maquinaria de uso general n.c.p.,"2919,2922,2930,3312",yes
2172,DENSO MANUFACTURING ARGENTINA SA,DENSO MANUFACTURING ARGENTINA S.A.,Exportadora Habitual,curated,8708,3430,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,"3190,3430,3610",yes
1715,AGROMETAL SAI,AGROMETAL SOC ANON IND,Exportadora Habitual,curated,8432,2921,Fabricación de maquinaria agropecuaria,2921,yes
5650,LA INDUSTRIAL SALINERA S.A.,LA INDUSTRIAL SALINERA SA,Exportadora Habitual,curated,2501,1422,Extracción de sal en salinas y de roca,1422,yes
1315,CARTOTECNICA HORES,CARTOTECNICA HORES S R L,Exportadora Habitual,curated,4823,2109,Fabricación de  artículos de papel y cartón,"1729,2109,2221,3699",yes
3614,NANOMIX,ENDROP S.R.L.,Exportadora Habitual,curated,3105,2412,Fabricación de abonos y compuestos de nitrógeno,2412,yes
4037,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.,FABRICA DE ALIMENTOS SANTA CLARA SA,Exportadora Habitual,curated,0402,1520,Elaboración de productos lácteos,1520,yes
4037,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.,FABRICA DE ALIMENTOS SANTA CLARA SA,Exportadora Habitual,curated,0403,1520,Elaboración de productos lácteos,1520,yes
4037,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.,FABRICA DE ALIMENTOS SANTA CLARA SA,Exportadora Habitual,curated,0405,1520,Elaboración de productos lácteos,1520,yes
4037,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.,FABRICA DE ALIMENTOS SANTA CLARA SA,Exportadora Habitual,curated,0406,1520,Elaboración de productos lácteos,1520,yes
4037,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.,FABRICA DE ALIMENTOS SANTA CLARA SA,Exportadora Habitual,curated,1901,1531,Elaboración de productos de molinería,"1531,1549,2429",yes
2343,LA VARENSE,LA VARENSE S R L,Exportadora Habitual,curated,0402,1520,Elaboración de productos lácteos,1520,yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,0409,0122,"Producción de granja y cría de animales, excepto ganado",0122,yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,1704,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,1901,1531,Elaboración de productos de molinería,"1531,1549,2429",yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,1905,1541,Elaboración de productos de panadería,"1541,1549",yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,2005,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549,2429",yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,2007,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549,2429",yes
239,DULCOR,DULCOR S.A.,Exportadora Habitual,curated,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
3994,FAMIGLIA ROSSI - MOLINOS ROSSI,AGRICOLA MAGDALENA S.R.L,Exportadora Habitual,curated,0713,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
3994,FAMIGLIA ROSSI - MOLINOS ROSSI,AGRICOLA MAGDALENA S.R.L,Exportadora Habitual,curated,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
3994,FAMIGLIA ROSSI - MOLINOS ROSSI,AGRICOLA MAGDALENA S.R.L,Exportadora Habitual,curated,1101,1531,Elaboración de productos de molinería,1531,yes
3994,FAMIGLIA ROSSI - MOLINOS ROSSI,AGRICOLA MAGDALENA S.R.L,Exportadora Habitual,curated,1102,1531,Elaboración de productos de molinería,1531,yes
3994,FAMIGLIA ROSSI - MOLINOS ROSSI,AGRICOLA MAGDALENA S.R.L,Exportadora Habitual,curated,1103,1531,Elaboración de productos de molinería,1531,yes
3994,FAMIGLIA ROSSI - MOLINOS ROSSI,AGRICOLA MAGDALENA S.R.L,Exportadora Habitual,curated,1902,1544,Elaboración de pastas alimenticias,1544,yes
3287,COOPERATIVA AGRICOLA GANADERA DE JUSTINIANO POSSE,COOP AGRICOLA GANADERA DE JUSTINIANO POSSE LIMITADA,Exportadora Habitual,curated,1101,1531,Elaboración de productos de molinería,1531,yes
678,GASTALDI HNOS. S.A.I Y C.F.E.I,GASTALDI HNOS S A I Y C F E I,Exportadora Habitual,curated,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
678,GASTALDI HNOS. S.A.I Y C.F.E.I,GASTALDI HNOS S A I Y C F E I,Exportadora Habitual,curated,1101,1531,Elaboración de productos de molinería,1531,yes
678,GASTALDI HNOS. S.A.I Y C.F.E.I,GASTALDI HNOS S A I Y C F E I,Exportadora Habitual,curated,1202,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,1513,1549",yes
2812,GEORGALOS,GEORGALOS HNOS S A I C A,Exportadora Habitual,curated,1202,0111,"Cultivo de cereales, oleaginosas y forrajeras","0111,1513,1549",yes
2812,GEORGALOS,GEORGALOS HNOS S A I C A,Exportadora Habitual,curated,1704,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
2812,GEORGALOS,GEORGALOS HNOS S A I C A,Exportadora Habitual,curated,1806,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
2812,GEORGALOS,GEORGALOS HNOS S A I C A,Exportadora Habitual,curated,1904,1531,Elaboración de productos de molinería,1531,yes
2812,GEORGALOS,GEORGALOS HNOS S A I C A,Exportadora Habitual,curated,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
245,DULCES ORIETA - GRUPO DULCOR,GOY WIDMER Y CIA SA,Exportadora Habitual,curated,2007,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549,2429",yes
245,DULCES ORIETA - GRUPO DULCOR,GOY WIDMER Y CIA SA,Exportadora Habitual,curated,2008,1513,"Preparación de frutas, hortalizas y legumbres","1513,1549",yes
5310,CERRO AZUL,ALFREDO A. LLAMAS Y JUAN J. LLAMAS ASOCIACION SIMPLE,Exportadora Habitual,curated,1806,1543,Elaboración de cacao y chocolate y de productos de confitería,1543,yes
5310,CERRO AZUL,ALFREDO A. LLAMAS Y JUAN J. LLAMAS ASOCIACION SIMPLE,Exportadora Habitual,curated,1905,1541,Elaboración de productos de panadería,"1541,1549",yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1005,0111,"Cultivo de cereales, oleaginosas y forrajeras",0111,yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1102,1531,Elaboración de productos de molinería,1531,yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1103,1531,Elaboración de productos de molinería,1531,yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1108,1532,Elaboración de almidones y productos derivados del almidón,1532,yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1515,1514,Elaboración de aceites y grasas de origen vegetal,"1514,1532",yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1701,1542,Elaboración de azúcar,1542,yes
2383,GRUPO ARCOR,ARCOR S A I C,Exportadora Habitual,curated,1702,1520,Elaboración de productos lácteos,"1520,1532,1542,1549,2429",yes
