iso3_o,iso3_d,hs92,travelled_distance,dist,export_value,total_imports
ARG,BRA,0101,3487.7430791343827,1675.0,1391894.0,10962410.0
ARG,URY,0101,3487.7430791343827,206.0,1085540.0,3487646.0
ARG,CHL,0101,3487.7430791343827,1138.0,400911.0,3397950.0
ARG,PER,0101,3487.7430791343827,3130.0,847906.0,1935749.0
ARG,PRY,0101,3487.7430791343827,1034.0,27258.0,712926.0
ARG,BOL,0101,3487.7430791343827,2229.0,0.0,24150.0
ARG,PER,0102,3185.4166205729575,3130.0,0.0,904126.0
ARG,BRA,0102,3185.4166205729575,1675.0,0.0,618376.0
ARG,BOL,0102,3185.4166205729575,2229.0,0.0,469414.0
ARG,PRY,0102,3185.4166205729575,1034.0,25992.0,237156.0
ARG,URY,0102,3185.4166205729575,206.0,140945.0,140945.0
ARG,CHL,0102,3185.4166205729575,1138.0,0.0,40776.0
ARG,URY,0103,929.48535126946,206.0,0.0,164128.0
ARG,CHL,0104,2129.7976616827946,1138.0,0.0,66966.0
ARG,PRY,0104,2129.7976616827946,1034.0,19674.0,42920.0
ARG,URY,0104,2129.7976616827946,206.0,11996.0,11996.0
ARG,PRY,0105,1791.9838514347532,1034.0,763557.0,12960128.0
ARG,CHL,0105,1791.9838514347532,1138.0,0.0,7838858.0
ARG,URY,0105,1791.9838514347532,206.0,1216226.0,3199398.0
ARG,BRA,0105,1791.9838514347532,1675.0,0.0,2125111.0
ARG,CHL,0106,4239.912722296348,1138.0,343351.0,1014611.0
ARG,BRA,0106,4239.912722296348,1675.0,15700.0,485330.0
ARG,ECU,0106,4239.912722296348,4227.0,0.0,272288.0
ARG,PER,0106,4239.912722296348,3130.0,0.0,184345.0
ARG,URY,0106,4239.912722296348,206.0,37925.0,88120.0
ARG,BOL,0106,4239.912722296348,2229.0,28089.0,75555.0
ARG,PRY,0106,4239.912722296348,1034.0,0.0,2009.0
ARG,DEU,0201,3923.723301530341,11889.0,275899466.0,2161031871.0
ARG,NLD,0201,3923.723301530341,11422.0,151839486.0,2091559107.0
ARG,CHL,0201,3923.723301530341,1138.0,165124661.0,1285997323.0
ARG,ISR,0201,3923.723301530341,12211.0,104341693.0,293079201.0
ARG,URY,0201,3923.723301530341,206.0,4895671.0,165734587.0
ARG,BRA,0201,3923.723301530341,1675.0,21497048.0,138980730.0
ARG,PER,0201,3923.723301530341,3130.0,4246694.0,17989367.0
ARG,PRY,0201,3923.723301530341,1034.0,0.0,15306236.0
ARG,CHN,0202,11134.143518508934,19629.0,1626691859.0,11634158715.0
ARG,USA,0202,11134.143518508934,8492.0,136715048.0,4959721449.0
ARG,ISR,0202,11134.143518508934,12211.0,143207325.0,616176235.0
ARG,CAN,0202,11134.143518508934,8930.0,20450838.0,463086691.0
ARG,GBR,0202,11134.143518508934,11103.0,431005.0,456085850.0
ARG,FRA,0202,11134.143518508934,11026.0,505270.0,434757501.0
ARG,ITA,0202,11134.143518508934,11131.0,10658966.0,333223765.0
ARG,MEX,0202,11134.143518508934,7372.0,21378255.0,311123494.0
ARG,ESP,0202,11134.143518508934,10022.0,627879.0,193222478.0
ARG,CHL,0202,11134.143518508934,1138.0,1872685.0,179340389.0
ARG,PRT,0202,11134.143518508934,9574.0,4018888.0,177955195.0
ARG,BRA,0202,11134.143518508934,1675.0,47862859.0,167610607.0
ARG,GTM,0202,11134.143518508934,6420.0,0.0,121061524.0
ARG,DOM,0202,11134.143518508934,6001.0,0.0,115030782.0
ARG,LBY,0202,11134.143518508934,10565.0,0.0,94437303.0
ARG,SLV,0202,11134.143518508934,6258.0,77229.0,83086649.0
ARG,IRL,0202,11134.143518508934,10964.0,0.0,59541053.0
ARG,CRI,0202,11134.143518508934,5624.0,0.0,59338737.0
ARG,SEN,0202,11134.143518508934,6966.0,18070.0,58980759.0
ARG,AGO,0202,11134.143518508934,7780.0,353111.0,44708287.0
ARG,JAM,0202,11134.143518508934,6139.0,0.0,41128598.0
ARG,COL,0202,11134.143518508934,4642.0,548494.0,36672842.0
ARG,MAR,0202,11134.143518508934,9222.0,0.0,33956580.0
ARG,GHA,0202,11134.143518508934,7506.0,0.0,32190450.0
