hs92,iso3_o,export_value_to_accessible
0101,ARE,12803.0
0101,ARG,3753509.0
0101,BEL,3088481.0
0101,BRA,2305087.0
0101,CHL,307155.0
0101,CZE,33932.0
0101,DEU,847787.0
0101,DOM,17500.0
0101,ECU,40000.0
0101,EGY,60857.0
0101,ESP,278924.0
0101,FRA,495246.0
0101,GBR,314714.0
0101,HUN,39387.0
0101,IRL,25500.0
0101,ITA,224536.0
0101,JPN,106500.0
0101,NLD,1425439.0
0101,PAN,23281.0
0101,PRT,18196.0
0101,SWE,163663.0
0101,URY,216053.0
0101,USA,6722281.0
0102,ARG,166937.0
0102,BOL,26112.0
0102,BRA,561031.0
0102,CHL,30146.0
0102,CHN,40776.0
0102,ESP,783666.0
0102,URY,119547.0
0102,USA,682578.0
0103,BRA,164128.0
0104,ARG,31670.0
0104,AUS,62286.0
0104,CAN,4680.0
0104,URY,23246.0
0105,ARG,1979783.0
0105,BRA,20403614.0
0105,CAN,204191.0
0105,CHN,69752.0
0105,CZE,134499.0
0105,ESP,548290.0
0105,FRA,1095805.0
0105,GBR,135820.0
0105,JPN,3615.0
0105,PRT,4192.0
0105,USA,1543934.0
0106,AGO,384.0
0106,ARG,425065.0
0106,AUT,10314.0
0106,BEL,13863.0
0106,BGR,303.0
0106,BOL,1630.0
0106,BRA,24565.0
0106,CAN,11653.0
0106,CHE,8919.0
0106,CHL,30268.0
0106,CHN,44372.0
0106,COL,2787.0
0106,CRI,23462.0
0106,CUB,615.0
0106,CZE,11210.0
0106,DEU,17917.0
0106,ESP,143691.0
0106,FRA,44441.0
0106,GBR,9498.0
0106,GTM,40457.0
0106,HND,200.0
0106,HUN,9697.0
0106,IDN,324.0
0106,IRL,812.0
0106,ISR,138456.0
0106,JPN,1631.0
0106,KEN,2019.0
0106,KOR,2135.0
0106,LVA,326.0
0106,MEX,1356.0
0106,MKD,19282.0
0106,MOZ,103.0
0106,MWI,64.0
0106,NIC,546.0
0106,NLD,533584.0
0106,PER,5717.0
0106,POL,3210.0
0106,PRT,20866.0
0106,SAU,5374.0
0106,SGP,502.0
0106,SLV,44218.0
0106,SRB,2362.0
0106,SVK,5520.0
0106,THA,1200.0
0106,URY,2844.0
0106,USA,417715.0
0106,UZB,2409.0
0106,ZAF,34372.0
0201,ARG,727844719.0
0201,AUS,76231284.0
0201,AUT,230620866.0
0201,BEL,359809035.0
0201,BGR,2227298.0
0201,BOL,1106470.0
0201,BRA,751628007.0
0201,CAN,22042893.0
0201,CHE,585609.0
0201,CHL,1661352.0
0201,CHN,52777.0
0201,COL,8380897.999999999
0201,CYP,347.0
0201,CZE,31389951.0
0201,DEU,369795019.0
0201,DNK,83454704.0
0201,EGY,244286.0
0201,ESP,113581247.0
0201,EST,9045957.0
0201,FIN,538134.0
0201,FRA,316719045.0
0201,GBR,73430188.0
0201,GRC,318256.0
0201,HRV,472725.0
0201,HUN,20400233.0
0201,IRL,343551196.0
0201,IRN,32356.0
0201,ISR,132348.0
0201,ITA,177968520.0
0201,JPN,16781075.0
0201,KHM,6287.0
0201,LTU,24677385.0
0201,LVA,36132887.0
0201,MMR,44162.0
0201,MOZ,1087.0
0201,NAM,33447508.0
0201,NLD,565170517.0
0201,NOR,163.0
0201,NZL,17812937.0
0201,PAN,39462.0
0201,POL,485729662.0
0201,PRT,10284762.0
0201,PRY,757349450.0
0201,ROU,23164889.0
0201,SGP,154000.0
0201,SRB,104091.0
0201,SVK,861162.0
0201,SVN,2489997.0
0201,SWE,610592.0
0201,TTO,277.0
0201,TUR,8336.0
0201,UKR,65.0
0201,URY,264845676.0
0201,USA,206282307.0
0201,ZAF,413966.0
0202,AFG,663.0
0202,AGO,7823.0
0202,ARE,62547.0
0202,ARG,2025362641.0
0202,AUS,2967978198.0
0202,AUT,6697949.0
0202,BEL,28828874.0
0202,BGR,1000836.0
0202,BLR,71505060.0
