candidate_hs4,n_anchors_linking,mean_proximity,max_proximity,best_anchor_hs4,candidate_product_name_short,candidate_product_name,candidate_sector,pci,distance_travelled,accessible_market_size,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,pci_norm,acc_size_norm,acc_growth_norm,dai_norm,distance_norm_inverse,distance_percentile,attractiveness_score,feasibility_score,combined_score,combined_rank
3910,1,0.30236738804010005,0.30236738804010005,2929,Silicones in primary forms,Silicones in primary forms,Chemicals,2.975851579021623,4864.871451336754,330775977.0,0.0824959281681818,1.1651347135134489,100.0,19.354838709677423,0.9345401103941389,0.0013572443155186434,0.17702855851061894,1.0,0.5667434600459753,48.023715415019765,0.5118665059036038,0.7833717300229877,1.0,1
2813,1,0.1963850446524775,0.1963850446524775,1508,Sulfides of nonmetals,Sulfides of nonmetals; commercial phosphorus trisulfide,Chemicals,2.557953884512373,3705.439990527813,14699038.0,0.0249961934749403,1.5140030651608378,96.66666666666669,33.33333333333334,0.8981146669558259,6.031328499134787e-05,0.15921160652654678,0.9655555555555557,0.6943881816186139,77.4703557312253,0.4888753134307975,0.8299718685870848,0.9953503773122943,2
2926,1,0.2906120361848007,0.2906120361848007,2929,Nitrile-function compounds,Nitrile-function compounds,Chemicals,3.3645754449905736,5804.604421117215,349317446.0,-0.0257355733143592,1.8787837496764832,100.0,45.16129032258065,0.9684226595898271,0.0014333239136498437,0.14349178698695614,1.0,0.4632858971499635,24.90118577075099,0.5204426075200651,0.7316429485749818,0.9790694520657324,3
3701,1,0.2968612825952322,0.2968612825952322,2929,Photographic plates,"Photographic plates and film in the flat, sensitized, unexposed, of any material other than paper, paperboard or textiles; instant print film in the flat, sensitized, unexposed, whether or not in packs",Chemicals,2.9422444149846494,5335.551902794945,166683447.0,0.038479534866757,1.200638894938327,100.0,51.61290322580645,0.9316107909247207,0.0006839377000216768,0.16338957443273763,1.0,0.5149250669741272,37.35177865612648,0.5068237734955502,0.7574625334870636,0.9751379844205216,4
3809,3,0.3288460608919374,0.34562187878261763,3902,Finishing agents,"Finishing agents, dye carriers to accelerate the dyeing or fixing of dyestuffs and other products and preparations (for example, dressings and mordants), of a kind used in the textile, paper, leather or like industries, not elsewhere specified or included",Chemicals,1.735661239969731,3256.6172778250225,141407814.0,0.0824584234866794,1.3017220766406483,100.0,38.70967741935484,0.8264407271206161,0.0005802263920799111,0.17701693725509368,1.0,0.7438002013325284,84.78260869565217,0.45761965447210146,0.8719001006662642,0.9748924736001079,5
2941,1,0.37877500208799336,0.37877500208799336,3002,Antibiotics,Antibiotics,Chemicals,3.206192402065289,5767.61722820324,613078367.0,-0.0472592286207078,1.5291125033271686,100.0,51.61290322580645,0.9546174325032365,0.0025155911748034917,0.13682243563845317,1.0,0.4673579101156663,25.69169960474308,0.5121432229549324,0.7336789550578331,0.9676339404959599,6
2917,1,0.33813425679215686,0.33813425679215686,3404,Polycarboxylic acids,"Polycarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulfonated, nitrated or nitrosated derivatives",Chemicals,2.5881971194709923,4828.875870667649,484771751.0,0.1345815359508855,1.17869634418959,93.5483870967742,45.16129032258064,0.9007507744501982,0.001989121789726493,0.1931678812027413,0.9333333333333335,0.5707063039290864,49.011857707509876,0.4991646379732161,0.7520198186312099,0.9597531137829189,7
5911,11,0.3845004850327607,0.42045462562100994,8428,Textile articles for technical use,"Textile products and articles, for technical uses, specified in note 7 to this chapter",Textiles,2.4078823680625767,4565.179945722892,177661781.0,0.0660936948431203,1.156214916771673,96.7741935483871,38.70967741935484,0.8850339019600695,0.0007289841436918139,0.171946138476105,0.9666666666666668,0.5997372506104268,56.324110671936765,0.4856857316349839,0.7832019586385468,0.9595758379647462,8
3506,1,0.32979140313320726,0.32979140313320726,3302,Glues and adhesives,"Prepared glues and other prepared adhesives, not elsewhere specified or included; products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg",Chemicals,1.855717912664042,3866.938424492777,411308107.0,0.0680334381283727,1.2476520425662636,100.0,22.58064516129032,0.8369052920083314,0.0016876848047295888,0.1725471901706762,1.0,0.6766084134005839,73.12252964426878,0.4620113647480172,0.8383042067002919,0.9594848108196422,9
5909,1,0.3294776098498392,0.3294776098498392,2923,Textile hosepiping and similar tubing,"Textile hosepiping and similar textile tubing, with or without lining, armor or accessories of other materials:",Textiles,2.441029061091123,5213.4763063105875,24209363.0,0.1368679934985566,1.6289418454136149,100.0,41.93548387096774,0.8879230851451939,9.933617493049495e-05,0.19387636628633012,1.0,0.5283646759986984,40.316205533596836,0.4924554681879121,0.7641823379993492,0.9574486130755432,10
3403,1,0.35621410361763167,0.35621410361763167,3822,Lubricants,"Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, antirust or anticorrosion preparations and mold release preparations, based on lubricants) and preparations of a kind used for the oil or grease treatment of t",Chemicals,2.212366582343138,4087.28488117806,322361037.0,0.0971881758505461,1.2040346470607068,93.5483870967742,45.16129032258064,0.8679920534703713,0.001322716023639604,0.18158111989009865,0.9333333333333335,0.6523499185573555,68.77470355731225,0.47972198571362024,0.7928416259453445,0.9567542879653146,11
2920,1,0.2967553113654028,0.2967553113654028,2929,Esters of other inorganic acids of nonmetals,"Esters of other inorganic acids of nonmetals (excluding esters of hydrogen halides) and their salts; their halogenated, sulfonated, nitrated or nitrosated derivatives",Chemicals,2.800872543775256,5734.595285180579,89854273.0,0.0547475209746513,1.3080509283173043,100.0,41.93548387096774,0.9192883178262428,0.00036869122830619083,0.16843039642797328,1.0,0.4709933787616303,26.679841897233203,0.5018439308271913,0.7354966893808151,0.9529750123768186,12
8439,3,0.35387501745087296,0.35744701561153214,4810,Machinery for making paper,Machinery for making pulp of fibrous cellulosic material or for making or finishing paper or paperboard (other than the machinery of heading 8419); parts thereof,Machinery,2.9455193936171655,5360.799419580512,269779159.0,-0.0857675964430546,1.4482135588482314,96.7741935483871,25.80645161290323,0.9318962496638039,0.0011069613740363928,0.1248901764004573,0.9666666666666668,0.5121455044390155,35.96837944664032,0.4974474092755254,0.7394060855528412,0.948785221499052,13
9032,6,0.40700534164089763,0.42547124036378736,8501,Automatic regulating instruments,Automatic regulating or controlling instruments and apparatus; parts and accessories thereof,Machinery,2.306110169127732,5260.106552206556,1839960093.0,0.1163667797316301,1.2392009944181464,100.0,45.16129032258065,0.8761630765772032,0.007549748321068082,0.18752383017030763,1.0,0.5232310351105154,38.73517786561265,0.4868499329114455,0.7616155175552577,0.9471235911360961,14
5606,2,0.36335609551925474,0.3718133498961816,5106,Gimp yarn,"Gimp yarn & strip, synthetic or artificial monofilament",Textiles,2.503890315328116,4699.931368579229,24902830.0,0.1221168766845925,1.3081143354103235,90.32258064516128,32.25806451612902,0.8934022947478214,0.00010218161779574198,0.18930556363153578,0.8999999999999999,0.5849021280236951,52.56916996047431,0.49405308368624357,0.7424510640118476,0.9455681456121117,15
8441,4,0.37961255686519946,0.3926327396490398,8422,Other machinery for making paper,"Other machinery for making up paper pulp, paper or paperboard, including cutting machines of all kinds, and parts thereof",Machinery,2.4225457821355803,5484.796196355893,366104754.0,0.1171306122790838,1.3468013763262263,100.0,38.70967741935484,0.8863120170751958,0.0015022058154206626,0.18776051244187736,1.0,0.49849438785092925,32.41106719367589,0.4904716881019224,0.7492471939254646,0.944538402114652,16
5309,1,0.3801564465977931,0.3801564465977931,5106,Woven fabrics of flax,Woven fabrics of flax,Textiles,1.9462808264959717,4626.375547581479,46781289.0,0.3405593375677533,1.5888741715638048,90.32258064516128,29.03225806451612,0.8447990763932097,0.0001919535969442087,0.256992464407711,0.8999999999999999,0.593000073101668,54.347826086956516,0.48669564269776866,0.746500036550834,0.9369113531037779,17
3909,1,0.3468178443909677,0.3468178443909677,3404,Amino-resins,"Amino-resins, phenolic resins and polyurethanes, in primary forms",Chemicals,2.465048900430505,3748.20020088382,574919742.0,0.124907500036673,1.1389411445086104,77.41935483870968,25.80645161290323,0.8900167394312782,0.0023590182055722416,0.19017027026948644,0.7666666666666667,0.6896806026630871,76.6798418972332,0.4931406918344038,0.7281736346648768,0.9347416405706135,18
2847,1,0.3661869398215685,0.3661869398215685,4802,Hydrogen peroxide,"Hydrogen peroxide, whether or not solidified with urea",Chemicals,1.0809078167655404,2601.2331790495887,25385943.0,-0.0332408647553235,1.6390006905967602,96.7741935483871,29.032258064516142,0.7693700993178629,0.0001041639333766681,0.14116618639169207,0.9666666666666668,0.8159530828430557,91.89723320158103,0.42000263724019865,0.8913098747548612,0.9297797257342146,19
2914,1,0.28761062187567743,0.28761062187567743,2929,Ketones and quinones,"Ketones and quinones, whether or not with other oxygen function, and their halogenated, sulfonated, nitrated, or nitrosated derivatives",Chemicals,2.907026839033498,5342.823164406374,197172748.0,0.0460941732895889,1.0999400360923717,87.09677419354838,35.483870967741936,0.9285411022480469,0.0008090417986980656,0.16574905744391077,0.8666666666666667,0.514124555520673,36.95652173913043,0.5059100759346756,0.6903956110936699,0.9294738148272416,20
3903,3,0.3500352269110453,0.3693907326138776,3902,Polymers of styrene,"Polymers of styrene, in primary forms",Chemicals,2.0820299102163062,3438.309135442682,516037748.0,0.106187873779689,1.185169507020701,80.64516129032258,16.129032258064512,0.856631447415655,0.0021174128375896,0.18436977946792343,0.7999999999999999,0.7237972883863502,82.41106719367589,0.4749375217842058,0.761898644193175,0.9289681618288631,21
3810,1,0.34349623711773525,0.34349623711773525,8408,Pickling preparations for metal surfaces,"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, brazing or welding; soldering, brazing or welding powders and pastes consisting of metal and other materials; preparations of a kind used as cores or coatings for welding electrodes or rods:",Chemicals,2.9538265061432822,4112.086495888107,35844284.0,0.0995944545475902,1.09250362339721,70.96774193548387,-6.451612903225808,0.9326203270191746,0.00014707673496747276,0.18232673293047622,0.7000000000000001,0.6496194465016749,67.78656126482213,0.5119286159259482,0.6748097232508374,0.9284558385690278,22
2932,1,0.3547054276521508,0.3547054276521508,3002,Heterocyclic compounds with oxygen hetero-atom(s) only,Heterocyclic compounds with oxygen hetero-atom(s) only,Chemicals,2.8518192156874123,6290.045396964993,537683318.0,0.0094437971483227,1.29610784105707,96.7741935483871,38.70967741935484,0.9237290102265342,0.0022062292235469783,0.15439251822871547,0.9666666666666668,0.40984248087522557,17.58893280632411,0.5010141919763327,0.6882545737709462,0.9205224593937162,23
5907,1,0.2974228849023452,0.2974228849023452,0101,"Other textile fabrics impregnated, coated or covered","Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like:",Textiles,2.4430014199494208,6149.538001902117,41562176.0,0.1014607266413791,1.354076506899203,100.0,41.93548387096774,0.8880950029302809,0.0001705384642143628,0.18290501873408285,1.0,0.4253112928989947,19.565217391304344,0.4898163907647147,0.7126556464494973,0.9193827305401003,24
8402,1,0.31692103648074355,0.31692103648074355,8901,Steam boilers,Steam or other vapor generating boilers (other than central heating hot water boilers capable also of producing low pressure steam); super-heated water boilers; parts thereof,Machinery,2.2565512949024473,5357.421296825121,334302931.0,-0.0398423174170705,1.8148898713499249,100.0,41.93548387096774,0.8718433495395141,0.0013717161593055209,0.13912065060397136,1.0,0.5125174104577199,36.16600790513834,0.47104476646057625,0.75625870522886,0.9192524681409476,25
7228,1,0.3284604551293404,0.3284604551293404,2807,Other bars and rods of other alloy steel,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel",Metals,1.5685772231684665,4018.1597052210273,530601235.0,0.1028102371176473,1.397519957529168,93.5483870967742,41.935483870967744,0.8118770923281637,0.002177169927944682,0.183323180026234,0.9333333333333335,0.6599600827946954,70.55335968379445,0.45231363365262656,0.7966467080640145,0.917062945606324,26
