hs4,share_2023_2025,usd_acumulado_2023_2025,usd_promedio_anual,n_ncm,descripcion_top_ncm,ncms_listados
1005,0.23835450218600968,7021867203.3207445,2340622401.1069145,3," Maíz en grano, excluido para siembra","10059010,10051000,10059090"
2304,0.15746613123745762,4638914945.719048,1546304981.9063494,2, Harina y pellets de la extracción del aceite de soja,"23040010,23040090"
1507,0.09570304013077677,2819388904.296663,939796301.4322209,4," Aceite de soja en bruto, incluso desgomado","15071000,15079090,15079011,15079019"
1201,0.07528249651230849,2217804523.9160376,739268174.6386791,2," Porotos de soja, incluso quebrantados, excluidos para siembra","12019000,12011000"
1202,0.07132542649360088,2101230178.012041,700410059.3373471,3," Maníes sin tostar ni cocer de otro modo, excluidos para siembra, sin cáscara, incluso quebrantados","12024200,12023000,12024100"
8704,0.044008917451995984,1296492288.9044504,432164096.30148345,7," Vehículos automóviles para transporte de mercancías, con motor de émbolo, de encendido por compresión (diésel o semidiésel) de peso total con carga máxima <= a 5 t n.c.o.p.","87042190,87043190,87042290,87042310,87043210"
8703,0.03815029728396352,1123898725.798533,374632908.59951097,6," Vehículos automóviles, principalmente para el transporte de personas, de cilindrada > a 1.000 cm3 y <= a 1.500 cm3, con capacidad <= a 6 personas","87032210,87033110,87033210,87032310,87032410"
8708,0.03264949027050006,961846253.512977,320615417.837659,35, Cajas de cambio para vehículos automóviles n.c.o.p.,"87084080,87088000,87082999,87089990,87084090"
1001,0.027696436277151182,815930455.5179739,271976818.5059913,4," Trigo y morcajo, excluidos trigo duro y para siembra","10019900,10019100,10011100,10011900"
0402,0.016933453660165843,498855535.7871033,166285178.5957011,6," Leche entera, en polvo, gránulos o similares, sin azucarar, con contenido de materias grasas > a 1,5%","04022110,04021010,04022920,04022120,04029900"
8408,0.01676617606533909,493927577.4469344,164642525.8156448,3," Motores de émbolo, diésel o semidiésel, para vehículos automotores, cilindrada > a 3.500 cm3","84082090,84089090,84089010"
1512,0.01363774522427656,401764745.53377455,133921581.84459151,4," Aceite de girasol, en bruto","15121110,15121911,15121919,15121120"
1508,0.010053176429976884,296164197.51015395,98721399.17005132,2," Aceite de maní, en bruto","15081000,15089000"
2008,0.009927384914986676,292458409.26002705,97486136.42000902,5," Maníes preparados o conservados de otro modo, incluso con adición de azúcar o edulcorante o alcohol, n.c.o.p.","20081100,20089790,20081900,20086010,20089900"
0405,0.009815767509153738,289170186.90991426,96390062.30330475,2,Manteca,"04051000,04059010"
0404,0.009784871041914965,288259984.299883,96086661.43329433,2," Lactosuero, modificado o no, incluso concentrado con adición de azúcar o edulcorantes","04041000,04049000"
2302,0.007570436485375141,223023266.5376464,74341088.84588213,2," Salvados, moyuelos y demás residuos del cernido, de la molienda, o de otros tratamientos de las leguminosas","23025000,23023090"
1007,0.00706862593325277,208240046.47713953,69413348.82571317,2," Sorgo en grano, excluido para siembra","10079000,10071000"
2306,0.005621446323436576,165606477.7956779,55202159.26522596,2," Tortas, harinas y pellets de la extración del aceite de girasol","23063010,23063090"
1214,0.004620025215147616,136104849.0346664,45368283.01155546,2,"Plantas,raíces y productos forrajeros excluidas harina y ""pellets"" de alfalfa","12149000,12141000"
3501,0.004587497241925643,135146582.64463353,45048860.88154451,1,Caseína,35011000
0406,0.00444964198232794,131085399.33449428,43695133.111498095,9,"Queso de pasta semidura,c/contenido de humedad >= al 36,0% y < al 46,0%","04069020,04069010,04061010,04063000,04062000"
2207,0.004065738207696085,119775685.02410652,39925228.34136884,3," Alcohol etílico sin desnaturalizar con grado alcohólico volumétrico <= a 80% vol, con un contenido de agua <= a 1% vol","22071010,22071090,22072011"
1806,0.003552042132697207,104642320.27358772,34880773.42452924,7,"Chocolate y preparaciones alimenticias c/cacao,ncop.","18069000,18063210,18062000,18063120,18063220"
1704,0.003463589634005424,102036530.60349834,34012176.86783278,4," Bombones, caramelos, confites y pastillas sin cacao","17049020,17049090,17049010,17041000"
3502,0.003376702774847622,99476864.30341059,33158954.76780353,2,Lactoalbúmina incluido los concentrados de dos o más proteínas de lactosuero,"35022000,35029010"
3823,0.0032303731688027634,95166028.75326276,31722009.58442092,1,Ácidos grasos monocarboxílicos industriales ncop.,38231990
3826,0.003182713172411644,93761976.54321465,31253992.18107155,1," Biodiésel y sus mezclas, sin aceites de petróleo o de mineral bituminoso",38260000
0202,0.003164908118935303,93237443.88319667,31079147.961065553,4," Carne bovina, congelada, deshuesada","02023000,02022090,02022010,02022020"
0713,0.0029225484604303623,86097585.72295189,28699195.240983963,12," Garbanzos secos desvainados, aunque estén mondados o partidos, excluidos para siembra","07132090,07133329,07133399,07133319,07133290"
0201,0.002607342678823177,76811698.02263352,25603899.340877842,1," Carne bovina, fresca o refrigerada, deshuesada",02013000
3507,0.002601420349490739,76637227.60262755,25545742.53420918,8,Preparaciones enzimáticas excluidas a base de celulasas y transglutaminasa,"35079049,35079039,35079019,35079029,35079011"
2923,0.0025506136808325975,75140475.1725762,25046825.0575254,1, Lecitina y demás fosfoaminolípidos,29232000
1905,0.0025208393621231166,74263330.79254614,24754443.59751538,6,Galletas dulces c/adición de edulcorante,"19053100,19053200,19059020,19059090,19052010"
2309,0.002472424484241127,72837039.95249723,24279013.317499075,4,Preparaciones alimenticias p/animales c/elementos nutritivos balanceado(piensos compuestos completos),"23099010,23091000,23099090,23099060"
0409,0.002385702809370766,70282239.94240968,23427413.31413656,1, Miel natural,04090000
9998,0.0023334343961072777,68742424.86235684,22914141.620785613,3, Aprovisionamiento de combustibles y lubricantes a buques y aeronaves,"99980100,99980200,99980500"
3920,0.002309245308977039,68029820.08233242,22676606.694110807,13,"Placas,hojas y tiras de polímeros de cloruro de vinilo ncop.","39204900,39202019,39202090,39201099,39205900"
4010,0.0023049368259475253,67902893.19232807,22634297.730776023,7,"Correas de transmisión s/fin,de caucho vulcanizado,circunferencia > a 60cm.y <= a 150cm.,c/muescas","40103500,40103100,40103900,40103300,40103600"
2106,0.0019557942441141216,57617235.39197541,19205745.13065847,6,"Chicles y otras gomas de mascar,s/azúcar","21069050,21061000,21069060,21069030,21069090"
0205,0.001868327759116924,55040493.45188707,18346831.150629025,1," Carne de la especie caballar, asnal o mular, fresca, refrigerada o congelada",02050000
1101,0.0018539842555229617,54617937.23187257,18205979.07729086,1, Harina de trigo,11010010
1518,0.0015178148729921201,44714466.81153304,14904822.270511014,1,"Grasas,aceites animales o vegetales cocidos,oxidados,deshidratados,sulfurados excluidos aceite vegetal epoxidado y grasas y aceites hidrogenados,refinados",15180090
8433,0.0014548058095966206,42858234.721469395,14286078.2404898,12,Cosechadoras ncop.,"84335990,84339090,84335200,84335100,84332090"
