CCOD_RUBRO,DESCRIP_RUBRO,2023,2024,2025,2023_2025_avg
29899,Manufacturas de origen agropecuario (confidencial),2273598997,3447146350,3297857782," 3,006,201,043 "
106B,Maíz,2137048197,2554865077,2269666631," 2,320,526,635 "
107A,Soja,278197344.8,495062530.5,1373843768," 715,701,214 "
107D,Maní,697045778.1,721055232.5,670102278.7," 696,067,763 "
313BB,Vehículos automóviles terrestres,774049650.4,769420874.9,480155126.6," 674,541,884 "
39899,Manufacturas de origen industrial (confidencial),327396691,311557275.2,362847911," 333,933,959 "
313BC,Partes y piezas de vehículos y tractores,220622474.3,260815012.4,298701024.9," 260,046,171 "
106A,Trigo,169259954.9,226981258.5,378621677.5," 258,287,630 "
203A,Leches preparadas,188011356,214941371.5,279820934.7," 227,591,221 "
312AA,"Motores de explosión o de combustión interna, de émbolos y sus partes.",184484689.1,172421899.3,166390218.7," 174,432,269 "
19899,Productos primarios (confidencial),91444599.11,117497617.8,77453228," 95,465,148 "
210Z,"Resto de preparados de legumbres,hortalizas y frutas",60420431.39,84228906.37,99781307.68," 81,476,882 "
106C,Sorgo granífero,55326462.12,51508572.33,100968411.5," 69,267,815 "
208AC,Aceite de maní,72190542.65,74147282.09,61207348.65," 69,181,724 "
212B,"Afrecho, afrechillo, pellets (trigo,maíz, sorgo y mijo)",50827237.38,48006850.69,63108987.42," 53,981,025 "
203B,Manteca,28457255.3,64675273.9,68080664.33," 53,737,731 "
208AA,Aceite de soja,70823302.62,,67436801.94," 46,086,702 "
312AL,"Otras máquinas y aparatos mecánicos, piezas y accesorios",58898400.53,31952123.26,43121962.44," 44,657,495 "
312B,Máquinas y aparatos eléctricos y objetos destinado al uso electrónico y sus partes,18204259.06,19053380.93,85838660.4," 41,032,100 "
203C,Quesos,34290171,43864506.82,38501070.96," 38,885,250 "
303,Materias plásticas y sus manufacturas,34825329.48,38916987.6,37944652.78," 37,228,990 "
212AE,Subproductos oleaginosos de soja,44877823.26,17978225.61,34700519.87," 32,518,856 "
304,Cauchos y sus manufacturas,30862070.08,31400812.52,30654450.23," 30,972,444 "
299,Resto de MOA,24467588.76,34754912.36,32131588.52," 30,451,363 "
212Z,Resto de residuos alimenticios y preparados para animales,36238616.58,30525901.6,23932387.87," 30,232,302 "
207CB,"Pastas alimenticias,productos de panadería y mezclas y pastas para la preparación de productos de panadería ",24991814.76,28322289.74,34902419.81," 29,405,508 "
104C,Legumbres,27410499.02,20327299.68,36794077.15," 28,177,292 "
211Z,"Resto de bebidas,líquidos alcohólicos y vinagre excluido el vino de uva",8736969.15,13447645.28,56037560.25," 26,074,058 "
208Z,Resto de grasas y aceites,18116565.63,23762182.6,27506566.2," 23,128,438 "
103,Miel,21555459.77,21692468.14,25084640.26," 22,777,523 "
209CB,Preparaciones de cacao,20673295.13,19619822.77,25377934.79," 21,890,351 "
201AA,Carne bovina,5675018.51,46400169.18,10304116.2," 20,793,101 "
