hs4,hs_revision,supports_top50_line,top50_line_name,primary_ccod_rubro,primary_rubro_name,attribution_type,in_opex_named,n_firms,evidencing_firms_sample,evidence_sources,usd_promedio_anual,usd_acumulado_2023_2025,share_2023_2025,descripcion_top_ncm,n_ncm,max_rubro_opex_2023_2025_avg_usd
1005,HS92,106B,Maíz,106B,Maíz,clean,yes,62,ACEITERA GENERAL DEHEZA SA - AGD; FAMIGLIA ROSSI - MOLINOS ROSSI; GASTALDI HNOS. S.A.I Y C.F.E.I; GRUPO ARCOR; AGRÍCOLA PIQUILLÍN,targeted+registry-declared,2340622401.1069145,7021867203.3207445,0.2383545021860096," Maíz en grano, excluido para siembra",3,2340622401.1069145
2304,HS92,212AE,Subproductos oleaginosos de soja,212AE,Subproductos oleaginosos de soja,clean,yes,12,ACEITERA GENERAL DEHEZA SA - AGD; AGROSERVICIOS MEDITERRÁNEA; ALIMENTOS TANCACHA SA; ASR - ALIMENTOS SANTA ROSA; COOPERATIVA AGRICULTORES DEL SUR LTDA.,targeted+registry-declared,1546304981.9063494,4638914945.719048,0.1574661312374576, Harina y pellets de la extracción del aceite de soja,2,1546304981.9063494
1507,HS92,208AA,Aceite de soja,208AA,Aceite de soja,clean,yes,11,ACEITERA GENERAL DEHEZA SA - AGD; ALIMENTOS TANCACHA SA; ASR - ALIMENTOS SANTA ROSA; BIOFARMA; COOPERATIVA AGRICULTORES DEL SUR LTDA.,targeted+registry-declared,939796301.4322208,2819388904.296663,0.0957030401307767," Aceite de soja en bruto, incluso desgomado",4,939796301.4322208
1201,HS92,107A,Soja,107A,Soja,clean,yes,32,Asociación de Cooperativas Argentinas (ACA) — Córdoba; AGRÍCOLA PIQUILLÍN; AGROSERVICIOS MEDITERRÁNEA; ALIMENTOS TANCACHA SA; BRO FOOD SUPPLIER,targeted+registry-declared,739268174.6386791,2217804523.9160376,0.0752824965123084," Porotos de soja, incluso quebrantados, excluidos para siembra",2,739268174.6386791
1202,HS92,107D,Maní,107D,Maní,clean,yes,47,INCHIK; ACEITERA GENERAL DEHEZA SA - AGD; GASTALDI HNOS. S.A.I Y C.F.E.I; GEORGALOS; AGRO TRANSPORTES S.A.,targeted+registry-declared,700410059.3373471,2101230178.012041,0.0713254264936008," Maníes sin tostar ni cocer de otro modo, excluidos para siembra, sin cáscara, incluso quebrantados",3,700410059.3373471
8704,HS92,313BB,Vehículos automóviles terrestres,313BB,Vehículos automóviles terrestres,aggregate-broad-chapter,yes,3,"Stellantis (Complejo Industrial Ferreyra, Córdoba); Iveco Argentina (Planta Ferreyra, Córdoba); METALÚRGICA ROGER",targeted+registry-declared,432164096.30148345,1296492288.9044504,0.0440089174519959," Vehículos automóviles para transporte de mercancías, con motor de émbolo, de encendido por compresión (diésel o semidiésel) de peso total con carga máxima <= a 5 t n.c.o.p.",7,432164096.30148345
8703,HS92,313BB,Vehículos automóviles terrestres,313BB,Vehículos automóviles terrestres,aggregate-broad-chapter,yes,4,"CINZIA VEHÍCULOS; Renault Argentina (Planta Santa Isabel, Córdoba); Stellantis (Complejo Industrial Ferreyra, Córdoba); FIAT ARGENTINA",targeted+registry-declared,374632908.59951097,1123898725.798533,0.0381502972839635," Vehículos automóviles, principalmente para el transporte de personas, de cilindrada > a 1.000 cm3 y <= a 1.500 cm3, con capacidad <= a 6 personas",6,374632908.59951097
8708,HS92,313BC,Partes y piezas de vehículos y tractores,313BC,Partes y piezas de vehículos y tractores,aggregate-broad,yes,39,DENSO MANUFACTURING ARGENTINA SA; Volkswagen Argentina (Centro Industrial Córdoba); AIMAR FRENOS; AKWEL CORDOBA ARGENTINA SA; CAPEMI,targeted+registry-declared,320615417.837659,961846253.512977,0.0326494902705, Cajas de cambio para vehículos automóviles n.c.o.p.,35,320615417.837659
1001,HS92,106A,Trigo,106A,Trigo,clean,yes,17,ACEITERA GENERAL DEHEZA SA - AGD; ESTABLECIMIENTO SAN PATRICIO SA; GEVAL SA; NATURAL CROPS; PAREDES CEREALES S.A.,targeted+registry-declared,271976818.5059913,815930455.5179739,0.0276964362771511," Trigo y morcajo, excluidos trigo duro y para siembra",4,271976818.5059913
0402,HS92,203A,Leches preparadas,203A,Leches preparadas,clean,yes,10,FÁBRICA DE ALIMENTOS SANTA CLARA S.A.; LA VARENSE; LACTEAR SA; LAS TRES NIÑAS - GRUPO ADECOAGRO; MANFREY,targeted+registry-declared,166285178.5957011,498855535.7871033,0.0169334536601658," Leche entera, en polvo, gránulos o similares, sin azucarar, con contenido de materias grasas > a 1,5%",6,166285178.5957011
8408,HS92,312AA,"Motores de explosión o de combustión interna, de émbolos y sus partes",312AA,"Motores de explosión o de combustión interna, de émbolos y sus partes",aggregate-broad,yes,2,"FPT Industrial (Planta Ferreyra, Córdoba); ORESTE BERTA SA",targeted+registry-declared,164642525.8156448,493927577.4469344,0.016766176065339," Motores de émbolo, diésel o semidiésel, para vehículos automotores, cilindrada > a 3.500 cm3",3,164642525.8156448
1512,HS92,208AE,Aceite de girasol,208AE,Aceite de girasol,clean,yes,3,ACEITERA GENERAL DEHEZA SA - AGD; BRO FOOD SUPPLIER; MOLINO CAÑUELAS,targeted+registry-declared,133921581.84459151,401764745.53377455,0.0136377452242765," Aceite de girasol, en bruto",4,133921581.84459151
