hs4,cordoba_evidenced,n_firms_with_hs4,ccod_rubro,rubro_name,attribution_type,routing,ambiguous_at_hs4,opex_2023_2025_avg_usd
0101,yes,8,101,Animales Vivos,clean,direct,no,10674.0
0102,yes,8,101,Animales Vivos,clean,direct,no,10674.0
0103,no,0,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0104,no,0,101,Animales Vivos,clean,direct,no,10674.0
0105,no,0,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0106,no,0,101,Animales Vivos,clean,direct,no,10674.0
0201,yes,35,201AA,Carne bovina,clean,direct,no,20793101.0
0202,yes,11,201AA,Carne bovina,clean,direct,no,20793101.0
0203,yes,47,201AC,Carne porcina,clean,direct,no,38568.0
0204,no,0,201AB,Carne ovina o caprina,clean,direct,no,
0205,no,0,201AZ,"Carnes frescas refrigeradas o congeladas excluido las bovinas,ovinas,caprinas,porcinas.aves,liebres y conejos",aggregate-resto,direct,no,
0206,yes,10,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0207,yes,15,201AE,Carne de Ave,clean,direct,no,
0208,no,0,201AZ,"Carnes frescas refrigeradas o congeladas excluido las bovinas,ovinas,caprinas,porcinas.aves,liebres y conejos",aggregate-resto,direct,no,
0209,no,0,201AZ,"Carnes frescas refrigeradas o congeladas excluido las bovinas,ovinas,caprinas,porcinas.aves,liebres y conejos",aggregate-resto,direct,no,
0210,no,0,201AZ,"Carnes frescas refrigeradas o congeladas excluido las bovinas,ovinas,caprinas,porcinas.aves,liebres y conejos",aggregate-resto,direct,no,
0301,no,0,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0302,no,0,102A,Pescados,clean,direct,no,
0303,no,0,102A,Pescados,clean,direct,no,
0304,no,0,102A,Pescados,clean,direct,yes,
0304,no,0,202AA,Filetes de pescado,clean,direct,yes,
0305,no,0,102A,Pescados,clean,direct,yes,
0305,no,0,202AZ,Resto de carnes de pescado excluido filetes,aggregate-resto,direct,yes,
0306,no,0,102B,Mariscos,clean,direct,no,
0307,no,0,102B,Mariscos,clean,direct,no,
0401,no,0,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0402,yes,20,203A,Leches preparadas,clean,direct,no,227591221.0
0403,yes,8,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0404,no,0,199,Resto de productos primarios,confidential,chapter-rule,no,607438.0
0405,yes,15,203B,Manteca,clean,direct,no,53737731.0
